"Name","Description","Summary","wtdprop","n_colleges","Survey","Survey_Name"
"CHOICE","Choice: Is this college your:","CHOICE.lessthanthird",0.0254712135854157,351,"TFS","The Freshman Survey"
"CHOICE","Choice: Is this college your:","CHOICE.third",0.0467814145228327,351,"TFS","The Freshman Survey"
"CHOICE","Choice: Is this college your:","CHOICE.second",0.190372293580055,351,"TFS","The Freshman Survey"
"CHOICE","Choice: Is this college your:","CHOICE.first",0.737375078311697,351,"TFS","The Freshman Survey"
"CHOOSE06","Choose to Attend: High school counselor advised me","CHOOSE06.notimportant",0.669874603081059,351,"TFS","The Freshman Survey"
"CHOOSE06","Choose to Attend: High school counselor advised me","CHOOSE06.somewhatimportant",0.27455543860019,351,"TFS","The Freshman Survey"
"CHOOSE06","Choose to Attend: High school counselor advised me","CHOOSE06.veryimportant",0.0555699583187506,351,"TFS","The Freshman Survey"
"CHOOSE12","Choose to Attend: I was offered financial assistance","CHOOSE12.notimportant",0.395012242988446,351,"TFS","The Freshman Survey"
"CHOOSE12","Choose to Attend: I was offered financial assistance","CHOOSE12.somewhatimportant",0.241854973902442,351,"TFS","The Freshman Survey"
"CHOOSE12","Choose to Attend: I was offered financial assistance","CHOOSE12.veryimportant",0.363132783109112,351,"TFS","The Freshman Survey"
"CHOOSE16","Choose to Attend: My relatives wanted me to come here","CHOOSE16.notimportant",0.634302404002172,351,"TFS","The Freshman Survey"
"CHOOSE16","Choose to Attend: My relatives wanted me to come here","CHOOSE16.somewhatimportant",0.292237757766762,351,"TFS","The Freshman Survey"
"CHOOSE16","Choose to Attend: My relatives wanted me to come here","CHOOSE16.veryimportant",0.0734598382310656,351,"TFS","The Freshman Survey"
"CHOOSE21","Choose to Attend: Rankings in national magazines","CHOOSE21.notimportant",0.507784701849141,351,"TFS","The Freshman Survey"
"CHOOSE21","Choose to Attend: Rankings in national magazines","CHOOSE21.somewhatimportant",0.354485045064007,351,"TFS","The Freshman Survey"
"CHOOSE21","Choose to Attend: Rankings in national magazines","CHOOSE21.veryimportant",0.137730253086852,351,"TFS","The Freshman Survey"
"CHOOSE24","Choose to Attend: This college has a good reputation for its social activities","CHOOSE24.notimportant",0.211256937492286,351,"TFS","The Freshman Survey"
"CHOOSE24","Choose to Attend: This college has a good reputation for its social activities","CHOOSE24.somewhatimportant",0.495565267818149,351,"TFS","The Freshman Survey"
"CHOOSE24","Choose to Attend: This college has a good reputation for its social activities","CHOOSE24.veryimportant",0.293177794689566,351,"TFS","The Freshman Survey"
"CHOOSE25","Choose to Attend: This college has a very good academic reputation","CHOOSE25.notimportant",0.0462890435009527,351,"TFS","The Freshman Survey"
"CHOOSE25","Choose to Attend: This college has a very good academic reputation","CHOOSE25.somewhatimportant",0.30466834959854,351,"TFS","The Freshman Survey"
"CHOOSE25","Choose to Attend: This college has a very good academic reputation","CHOOSE25.veryimportant",0.649042606900507,351,"TFS","The Freshman Survey"
"CHOOSE26","Choose to Attend: This college has low tuition","CHOOSE26.notimportant",0.565963162315742,351,"TFS","The Freshman Survey"
"CHOOSE26","Choose to Attend: This college has low tuition","CHOOSE26.somewhatimportant",0.284190562472416,351,"TFS","The Freshman Survey"
"CHOOSE26","Choose to Attend: This college has low tuition","CHOOSE26.veryimportant",0.149846275211842,351,"TFS","The Freshman Survey"
"CHOOSE28","Choose to Attend: This college's graduates gain admission to top graduate/professional schools","CHOOSE28.notimportant",0.252685570495628,351,"TFS","The Freshman Survey"
"CHOOSE28","Choose to Attend: This college's graduates gain admission to top graduate/professional schools","CHOOSE28.somewhatimportant",0.380302765609148,351,"TFS","The Freshman Survey"
"CHOOSE28","Choose to Attend: This college's graduates gain admission to top graduate/professional schools","CHOOSE28.veryimportant",0.367011663895224,351,"TFS","The Freshman Survey"
"CHOOSE29","Choose to Attend: This college's graduates get good jobs","CHOOSE29.notimportant",0.10933557532128,351,"TFS","The Freshman Survey"
"CHOOSE29","Choose to Attend: This college's graduates get good jobs","CHOOSE29.somewhatimportant",0.319598042746417,351,"TFS","The Freshman Survey"
"CHOOSE29","Choose to Attend: This college's graduates get good jobs","CHOOSE29.veryimportant",0.571066381932303,351,"TFS","The Freshman Survey"
"DISTHOME","How many miles is this college from your permanent home?","DISTHOME.miles10less",0.0859231661967852,351,"TFS","The Freshman Survey"
"DISTHOME","How many miles is this college from your permanent home?","DISTHOME.miles11to50",0.197966478637523,351,"TFS","The Freshman Survey"
"DISTHOME","How many miles is this college from your permanent home?","DISTHOME.miles51to100",0.16082371043272,351,"TFS","The Freshman Survey"
"DISTHOME","How many miles is this college from your permanent home?","DISTHOME.miles101to500",0.383575481379899,351,"TFS","The Freshman Survey"
"DISTHOME","How many miles is this college from your permanent home?","DISTHOME.miles501plus",0.171711163353074,351,"TFS","The Freshman Survey"
"FINCON","Do you have any concern about your ability to finance your college education?","FINCON.none",0.333073438709849,351,"TFS","The Freshman Survey"
"FINCON","Do you have any concern about your ability to finance your college education?","FINCON.some",0.523545826512603,351,"TFS","The Freshman Survey"
